Source, Destination, Distance
Couch,Statue,6.5
Couch,Bicycle,10.5
Couch,Fridge,11.0
Couch,Streetlamp,13.5
Couch,Watercooler,16.5
Couch,Desk,16.5
Couch,Clock,10.0
Couch,Stepladder,9.5
Couch,Phonebooth,5.0
Couch,Swing,7.0
Couch,TV,13.5
Statue,Bicycle,5.0
Statue,Fridge,8.0
Statue,Streetlamp,10.5
Statue,Watercooler,10.5
Statue,Desk,13.5
Statue,Clock,13.5
Statue,Stepladder,11.0
Statue,Phonebooth,11.0
Statue,Swing,14.0
Statue,TV,19.0
Bicycle,Fridge,5.0
Bicycle,Streetlamp,7.5
Bicycle,Watercooler,6.5
Bicycle,Desk,10.5
Bicycle,Clock,10.5
Bicycle,Stepladder,8.0
Bicycle,Phonebooth,11.5
Bicycle,Swing,13.0
Bicycle,TV,16.0
Fridge,Streetlamp,6.5
Fridge,Watercooler,6.5
Fridge,Desk,9.5
Fridge,Clock,6.0
Fridge,Stepladder,3.5
Fridge,Phonebooth,8.0
Fridge,Swing,8.5
Fridge,TV,11.5
Streetlamp,Watercooler,5.0
Streetlamp,Desk,7.0
Streetlamp,Clock,5.0
Streetlamp,Stepladder,5.0
Streetlamp,Phonebooth,10.0
Streetlamp,Swing,7.0
Streetlamp,TV,10.0
Watercooler,Desk,5.0
Watercooler,Clock,8.0
Watercooler,Stepladder,8.0
Watercooler,Phonebooth,13.5
Watercooler,Swing,10.5
Watercooler,TV,11.5
Desk,Clock,7.0
Desk,Stepladder,7.5
Desk,Phonebooth,13.0
Desk,Swing,10.0
Desk,TV,7.5
Clock,Stepladder,2.0
Clock,Phonebooth,6.5
Clock,Swing,3.5
Clock,TV,5.0
Stepladder,Phonebooth,6.5
Stepladder,Swing,5.0
Stepladder,TV,7.5
Phonebooth,Swing,3.5
Phonebooth,TV,10.0
Swing,TV,7.0
