Source, Destination, Distance
Couch1, Couch2, 1
Couch1, Statue1, 14
Couch1, Statue2, 15
Couch1, Bicycle1, 22
Couch1, Bicycle2, 23
Couch1, Fridge1, 22
Couch1, Fridge2, 23
Couch1, Streetlamp1, 27
Couch1, Streetlamp2, 28
Couch1, Watercooler1, 34
Couch1, Watercooler2, 35
Couch1, Desk1, 33
Couch1, Desk2, 34
Couch1, Clock1, 20
Couch1, Clock2, 21
Couch1, Stepladder1, 19
Couch1, Stepladder2, 20
Couch1, Phoneboth1, 8
Couch1, Phoneboth2, 9
Couch1, Swing1, 14
Couch1, Swing2, 15
Couch1, TV1, 27
Couch1, TV2, 28
Couch2, Statue1, 13
Couch2, Statue2, 14
Couch2, Bicycle1, 21
Couch2, Bicycle2, 22
Couch2, Fridge1, 23
Couch2, Fridge2, 24
Couch2, Streetlamp1, 28
Couch2, Streetlamp2, 29
Couch2, Watercooler1, 33
Couch2, Watercooler2, 34
Couch2, Desk1, 34
Couch2, Desk2, 35
Couch2, Clock1, 21
Couch2, Clock2, 22
Couch2, Stepladder1, 20
Couch2, Stepladder2, 21
Couch2, Phoneboth1, 9
Couch2, Phoneboth2, 10
Couch2, Swing1, 15
Couch2, Swing2, 16
Couch2, TV1, 28
Couch2, TV2, 29
Statue1, Statue2, 1
Statue1, Bicycle1, 10
Statue1, Bicycle2, 11
Statue1, Fridge1, 18
Statue1, Fridge2, 17
Statue1, Streetlamp1, 23
Statue1, Streetlamp2, 22
Statue1, Watercooler1, 22
Statue1, Watercooler2, 23
Statue1, Desk1, 29
Statue1, Desk2, 28
Statue1, Clock1, 28
Statue1, Clock2, 29
Statue1, Stepladder1, 23
Statue1, Stepladder2, 24
Statue1, Phoneboth1, 22
Statue1, Phoneboth2, 23
Statue1, Swing1, 28
Statue1, Swing2, 29
Statue1, TV1, 39
Statue1, TV2, 40
Statue2, Bicycle1, 9
Statue2, Bicycle2, 10
Statue2, Fridge1, 17
Statue2, Fridge2, 16
Statue2, Streetlamp1, 22
Statue2, Streetlamp2, 21
Statue2, Watercooler1, 21
Statue2, Watercooler2, 22
Statue2, Desk1, 28
Statue2, Desk2, 27
Statue2, Clock1, 27
Statue2, Clock2, 28
Statue2, Stepladder1, 22
Statue2, Stepladder2, 23
Statue2, Phoneboth1, 23
Statue2, Phoneboth2, 24
Statue2, Swing1, 29
Statue2, Swing2, 30
Statue2, TV1, 38
Statue2, TV2, 39
Bicycle1, Bicycle2, 1
Bicycle1, Fridge1, 12
Bicycle1, Fridge2, 11
Bicycle1, Streetlamp1, 17
Bicycle1, Streetlamp2, 16
Bicycle1, Watercooler1, 14
Bicycle1, Watercooler2, 15
Bicycle1, Desk1, 23
Bicycle1, Desk2, 22
Bicycle1, Clock1, 22
Bicycle1, Clock2, 23
Bicycle1, Stepladder1, 17
Bicycle1, Stepladder2, 18
Bicycle1, Phoneboth1, 24
Bicycle1, Phoneboth2, 25
Bicycle1, Swing1, 28
Bicycle1, Swing2, 27
Bicycle1, TV1, 33
Bicycle1, TV2, 34
Bicycle2, Fridge1, 11
Bicycle2, Fridge2, 10
Bicycle2, Streetlamp1, 16
Bicycle2, Streetlamp2, 15
Bicycle2, Watercooler1, 13
Bicycle2, Watercooler2, 14
Bicycle2, Desk1, 22
Bicycle2, Desk2, 21
Bicycle2, Clock1, 21
Bicycle2, Clock2, 22
Bicycle2, Stepladder1, 16
Bicycle2, Stepladder2, 17
Bicycle2, Phoneboth1, 23
Bicycle2, Phoneboth2, 24
Bicycle2, Swing1, 27
Bicycle2, Swing2, 26
Bicycle2, TV1, 32
Bicycle2, TV2, 33
Fridge1, Fridge2, 1
