TrialName,Source,Destination,TrueAngle
dsp2_02,Clock,Bicycle,171
dsp2_03,Desk,Statue,210.1
dsp2_04,Watercooler,Statue,210.1
dsp2_05,Streetlamp,Couch,210.1
dsp2_06,Fridge,Couch,210.1
dsp2_07,Watercooler,Phonebooth,129.2
dsp2_08,Stepladder,Phonebooth,129.2
dsp2_09,Bicycle,Swing,90.6
dsp2_10,Desk,Swing,90.6
dsp2_11,Stepladder,Clock,71
dsp2_13,Statue,TV,31.3
dsp2_14,Streetlamp,TV,31.3
dsp2_16,Fridge,Desk,12.3
dsp2_17,Clock,Watercooler,52.7
dsp2_18,Bicycle,Watercooler,52.7
dsp2_19,Swing,Streetlamp,69.3
dsp2_21,Couch,Stepladder,111.5
dsp2_22,TV,Stepladder,111.5
dsp2_23,Swing,Fridge,131.9
dsp2_24,Phonebooth,Fridge,131.9
